C000  4C F5 C5  JMP $C5F5                       A:00 X:00 Y:00 P:24 SP:FD CYC:  0
C5F5  A2 00     LDX #$00                        A:00 X:00 Y:00 P:24 SP:FD CYC:  9
C5F7  86 00     STX $00 = 00                    A:00 X:00 Y:00 P:26 SP:FD CYC: 15
CA06  C9 80     CMP #$80                        A:80 X:00 Y:00 P:A5 SP:FB CYC:186
CA08  D0 07     BNE                             A:80 X:00 Y:00 P:27 SP:FB CYC:192
CA0A  30 05     BMI                             A:80 X:00 Y:00 P:27 SP:FB CYC:198
CA0C  90 03     BCC                             A:80 X:00 Y:00 P:27 SP:FB CYC:204
CA0E  4C 15 CA  JMP $CA15                       A:80 X:00 Y:00 P:27 SP:FB CYC:210
CA15  EA        NOP                             A:80 X:00 Y:00 P:27 SP:FB CYC:219
CA16  C9 81     CMP #$81                        A:80 X:00 Y:00 P:27 SP:FB CYC:225
CA18  B0 07     BCS                             A:80 X:00 Y:00 P:A4 SP:FB CYC:231
CA1A  F0 05     BEQ                             A:80 X:00 Y:00 P:A4 SP:FB CYC:237
CA1C  10 03     BPL                             A:80 X:00 Y:00 P:A4 SP:FB CYC:243
CA1E  4C 25 CA  JMP $CA25                       A:80 X:00 Y:00 P:A4 SP:FB CYC:249
CA25  EA        NOP                             A:80 X:00 Y:00 P:A4 SP:FB CYC:258
CA26  C9 7F     CMP #$7F                        A:80 X:00 Y:00 P:A4 SP:FB CYC:264
CA28  90 07     BCC                             A:80 X:00 Y:00 P:25 SP:FB CYC:270
CA2A  F0 05     BEQ                             A:80 X:00 Y:00 P:25 SP:FB CYC:276
CA2C  30 03     BMI                             A:80 X:00 Y:00 P:25 SP:FB CYC:282
CA2E  4C 35 CA  JMP $CA35                       A:80 X:00 Y:00 P:25 SP:FB CYC:288
CA35  EA        NOP                             A:80 X:00 Y:00 P:25 SP:FB CYC:297
CA36  24 01     BIT $01 = FF                    A:80 X:00 Y:00 P:25 SP:FB CYC:303
CA38  A0 40     LDY #$40                        A:80 X:00 Y:00 P:E5 SP:FB CYC:312
CA3A  C0 40     CPY #$40                        A:80 X:00 Y:40 P:65 SP:FB CYC:318
CA3C  D0 09     BNE                             A:80 X:00 Y:40 P:67 SP:FB CYC:324
CA3E  30 07     BMI                             A:80 X:00 Y:40 P:67 SP:FB CYC:330
CA40  90 05     BCC                             A:80 X:00 Y:40 P:67 SP:FB CYC:336
CA42  50 03     BVC                             A:80 X:00 Y:40 P:67 SP:FB CYC:  1
CA44  4C 4B CA  JMP $CA4B                       A:80 X:00 Y:40 P:67 SP:FB CYC:  7
CA4B  EA        NOP                             A:80 X:00 Y:40 P:67 SP:FB CYC: 16
CA4C  B8        CLV                             A:80 X:00 Y:40 P:67 SP:FB CYC: 22
CA4D  C0 3F     CPY #$3F                        A:80 X:00 Y:40 P:27 SP:FB CYC: 28
CA4F  F0 09     BEQ                             A:80 X:00 Y:40 P:25 SP:FB CYC: 34
CA51  30 07     BMI                             A:80 X:00 Y:40 P:25 SP:FB CYC: 40
CA53  90 05     BCC                             A:80 X:00 Y:40 P:25 SP:FB CYC: 46
CA55  70 03     BVS                             A:80 X:00 Y:40 P:25 SP:FB CYC: 52
CA57  4C 5E CA  JMP $CA5E                       A:80 X:00 Y:40 P:25 SP:FB CYC: 58
CA5E  EA        NOP                             A:80 X:00 Y:40 P:25 SP:FB CYC: 67
CA5F  C0 41     CPY #$41                        A:80 X:00 Y:40 P:25 SP:FB CYC: 73
CA61  F0 07     BEQ                             A:80 X:00 Y:40 P:A4 SP:FB CYC: 79
CA63  10 05     BPL                             A:80 X:00 Y:40 P:A4 SP:FB CYC: 85
CA65  10 03     BPL                             A:80 X:00 Y:40 P:A4 SP:FB CYC: 91
CA67  4C 6E CA  JMP $CA6E                       A:80 X:00 Y:40 P:A4 SP:FB CYC: 97
CA6E  EA        NOP                             A:80 X:00 Y:40 P:A4 SP:FB CYC:106
CA6F  A0 80     LDY #$80                        A:80 X:00 Y:40 P:A4 SP:FB CYC:112
CA71  C0 00     CPY #$00                        A:80 X:00 Y:80 P:A4 SP:FB CYC:118
CA73  F0 07     BEQ                             A:80 X:00 Y:80 P:A5 SP:FB CYC:124
CA75  10 05     BPL                             A:80 X:00 Y:80 P:A5 SP:FB CYC:130
CA77  90 03     BCC                             A:80 X:00 Y:80 P:A5 SP:FB CYC:136
CA79  4C 80 CA  JMP $CA80                       A:80 X:00 Y:80 P:A5 SP:FB CYC:142
CA80  EA        NOP                             A:80 X:00 Y:80 P:A5 SP:FB CYC:151
CA81  C0 80     CPY #$80                        A:80 X:00 Y:80 P:A5 SP:FB CYC:157
CA83  D0 07     BNE                             A:80 X:00 Y:80 P:27 SP:FB CYC:163
CA85  30 05     BMI                             A:80 X:00 Y:80 P:27 SP:FB CYC:169
CA87  90 03     BCC                             A:80 X:00 Y:80 P:27 SP:FB CYC:175
CA89  4C 90 CA  JMP $CA90                       A:80 X:00 Y:80 P:27 SP:FB CYC:181
CA90  EA        NOP                             A:80 X:00 Y:80 P:27 SP:FB CYC:190
CA91  C0 81     CPY #$81                        A:80 X:00 Y:80 P:27 SP:FB CYC:196
CA93  B0 07     BCS                             A:80 X:00 Y:80 P:A4 SP:FB CYC:202
CA95  F0 05     BEQ                             A:80 X:00 Y:80 P:A4 SP:FB CYC:208
CA97  10 03     BPL                             A:80 X:00 Y:80 P:A4 SP:FB CYC:214
CA99  4C A0 CA  JMP $CAA0                       A:80 X:00 Y:80 P:A4 SP:FB CYC:220
CAA0  EA        NOP                             A:80 X:00 Y:80 P:A4 SP:FB CYC:229
CAA1  C0 7F     CPY #$7F                        A:80 X:00 Y:80 P:A4 SP:FB CYC:235
CAA3  90 07     BCC                             A:80 X:00 Y:80 P:25 SP:FB CYC:241
CAA5  F0 05     BEQ                             A:80 X:00 Y:80 P:25 SP:FB CYC:247
CAA7  30 03     BMI                             A:80 X:00 Y:80 P:25 SP:FB CYC:253
CAA9  4C B0 CA  JMP $CAB0                       A:80 X:00 Y:80 P:25 SP:FB CYC:259
CAB0  EA        NOP                             A:80 X:00 Y:80 P:25 SP:FB CYC:268
CAB1  24 01     BIT $01 = FF                    A:80 X:00 Y:80 P:25 SP:FB CYC:274
CAB3  A2 40     LDX #$40                        A:80 X:00 Y:80 P:E5 SP:FB CYC:283
CAB5  E0 40     CPX #$40                        A:80 X:40 Y:80 P:65 SP:FB CYC:289
CAB7  D0 09     BNE                             A:80 X:40 Y:80 P:67 SP:FB CYC:295
CAB9  30 07     BMI                             A:80 X:40 Y:80 P:67 SP:FB CYC:301
CABB  90 05     BCC                             A:80 X:40 Y:80 P:67 SP:FB CYC:307
CABD  50 03     BVC                             A:80 X:40 Y:80 P:67 SP:FB CYC:313
CABF  4C C6 CA  JMP $CAC6                       A:80 X:40 Y:80 P:67 SP:FB CYC:319
CAC6  EA        NOP                             A:80 X:40 Y:80 P:67 SP:FB CYC:328
CAC7  B8        CLV                             A:80 X:40 Y:80 P:67 SP:FB CYC:334
CAC8  E0 3F     CPX #$3F                        A:80 X:40 Y:80 P:27 SP:FB CYC:340
CACA  F0 09     BEQ                             A:80 X:40 Y:80 P:25 SP:FB CYC:  5
CACC  30 07     BMI                             A:80 X:40 Y:80 P:25 SP:FB CYC: 11
CACE  90 05     BCC                             A:80 X:40 Y:80 P:25 SP:FB CYC: 17
CAD0  70 03     BVS                             A:80 X:40 Y:80 P:25 SP:FB CYC: 23
CAD2  4C D9 CA  JMP $CAD9                       A:80 X:40 Y:80 P:25 SP:FB CYC: 29
CAD9  EA        NOP                             A:80 X:40 Y:80 P:25 SP:FB CYC: 38
CADA  E0 41     CPX #$41                        A:80 X:40 Y:80 P:25 SP:FB CYC: 44
CADC  F0 07     BEQ                             A:80 X:40 Y:80 P:A4 SP:FB CYC: 50
CADE  10 05     BPL                             A:80 X:40 Y:80 P:A4 SP:FB CYC: 56
CAE0  10 03     BPL                             A:80 X:40 Y:80 P:A4 SP:FB CYC: 62
CAE2  4C E9 CA  JMP $CAE9                       A:80 X:40 Y:80 P:A4 SP:FB CYC: 68
CAE9  EA        NOP                             A:80 X:40 Y:80 P:A4 SP:FB CYC: 77
CAEA  A2 80     LDX #$80                        A:80 X:40 Y:80 P:A4 SP:FB CYC: 83
CAEC  E0 00     CPX #$00                        A:80 X:80 Y:80 P:A4 SP:FB CYC: 89
CAEE  F0 07     BEQ                             A:80 X:80 Y:80 P:A5 SP:FB CYC: 95
CAF0  10 05     BPL                             A:80 X:80 Y:80 P:A5 SP:FB CYC:101
CAF2  90 03     BCC                             A:80 X:80 Y:80 P:A5 SP:FB CYC:107
CAF4  4C FB CA  JMP $CAFB                       A:80 X:80 Y:80 P:A5 SP:FB CYC:113
CAFB  EA        NOP                             A:80 X:80 Y:80 P:A5 SP:FB CYC:122
CAFC  E0 80     CPX #$80                        A:80 X:80 Y:80 P:A5 SP:FB CYC:128
CAFE  D0 07     BNE                             A:80 X:80 Y:80 P:27 SP:FB CYC:134
CB00  30 05     BMI                             A:80 X:80 Y:80 P:27 SP:FB CYC:140
CB02  90 03     BCC                             A:80 X:80 Y:80 P:27 SP:FB CYC:146
CB04  4C 0B CB  JMP $CB0B                       A:80 X:80 Y:80 P:27 SP:FB CYC:152
CB0B  EA        NOP                             A:80 X:80 Y:80 P:27 SP:FB CYC:161
CB0C  E0 81     CPX #$81                        A:80 X:80 Y:80 P:27 SP:FB CYC:167
CB0E  B0 07     BCS                             A:80 X:80 Y:80 P:A4 SP:FB CYC:173
CB10  F0 05     BEQ                             A:80 X:80 Y:80 P:A4 SP:FB CYC:179
CB12  10 03     BPL                             A:80 X:80 Y:80 P:A4 SP:FB CYC:185
CB14  4C 1B CB  JMP $CB1B                       A:80 X:80 Y:80 P:A4 SP:FB CYC:191
CB1B  EA        NOP                             A:80 X:80 Y:80 P:A4 SP:FB CYC:200
CB1C  E0 7F     CPX #$7F                        A:80 X:80 Y:80 P:A4 SP:FB CYC:206
CB1E  90 07     BCC                             A:80 X:80 Y:80 P:25 SP:FB CYC:212
CB20  F0 05     BEQ                             A:80 X:80 Y:80 P:25 SP:FB CYC:218
CB22  30 03     BMI                             A:80 X:80 Y:80 P:25 SP:FB CYC:224
CB24  4C 2B CB  JMP $CB2B                       A:80 X:80 Y:80 P:25 SP:FB CYC:230
CB2B  EA        NOP                             A:80 X:80 Y:80 P:25 SP:FB CYC:239
CB2C  38        SEC                             A:80 X:80 Y:80 P:25 SP:FB CYC:245
CB2D  B8        CLV                             A:80 X:80 Y:80 P:25 SP:FB CYC:251
CB2E  A2 9F     LDX #$9F                        A:80 X:80 Y:80 P:25 SP:FB CYC:257
CB30  F0 09     BEQ                             A:80 X:9F Y:80 P:A5 SP:FB CYC:263
CB32  10 07     BPL                             A:80 X:9F Y:80 P:A5 SP:FB CYC:269
CB34  70 05     BVS                             A:80 X:9F Y:80 P:A5 SP:FB CYC:275
CB36  90 03     BCC                             A:80 X:9F Y:80 P:A5 SP:FB CYC:281
CB38  4C 3F CB  JMP $CB3F                       A:80 X:9F Y:80 P:A5 SP:FB CYC:287
CB3F  EA        NOP                             A:80 X:9F Y:80 P:A5 SP:FB CYC:296
CB40  18        CLC                             A:80 X:9F Y:80 P:A5 SP:FB CYC:302
CB41  24 01     BIT $01 = FF                    A:80 X:9F Y:80 P:A4 SP:FB CYC:308
CB43  A2 00     LDX #$00                        A:80 X:9F Y:80 P:E4 SP:FB CYC:317
CB45  D0 09     BNE                             A:80 X:00 Y:80 P:66 SP:FB CYC:323
CB47  30 07     BMI                             A:80 X:00 Y:80 P:66 SP:FB CYC:329
CB49  50 05     BVC                             A:80 X:00 Y:80 P:66 SP:FB CYC:335
CB4B  B0 03     BCS                             A:80 X:00 Y:80 P:66 SP:FB CYC:  0
CB4D  4C 54 CB  JMP $CB54                       A:80 X:00 Y:80 P:66 SP:FB CYC:  6
CB54  EA        NOP                             A:80 X:00 Y:80 P:66 SP:FB CYC: 15
CB55  38        SEC                             A:80 X:00 Y:80 P:66 SP:FB CYC: 21
CB56  B8        CLV                             A:80 X:00 Y:80 P:67 SP:FB CYC: 27
CB57  A0 9F     LDY #$9F                        A:80 X:00 Y:80 P:27 SP:FB CYC: 33
CB59  F0 09     BEQ                             A:80 X:00 Y:9F P:A5 SP:FB CYC: 39
CB5B  10 07     BPL                             A:80 X:00 Y:9F P:A5 SP:FB CYC: 45
CB5D  70 05     BVS                             A:80 X:00 Y:9F P:A5 SP:FB CYC: 51
CB5F  90 03     BCC                             A:80 X:00 Y:9F P:A5 SP:FB CYC: 57
CB61  4C 68 CB  JMP $CB68                       A:80 X:00 Y:9F P:A5 SP:FB CYC: 63
CB68  EA        NOP                             A:80 X:00 Y:9F P:A5 SP:FB CYC: 72
CB69  18        CLC                             A:80 X:00 Y:9F P:A5 SP:FB CYC: 78
CB6A  24 01     BIT $01 = FF                    A:80 X:00 Y:9F P:A4 SP:FB CYC: 84
CB6C  A0 00     LDY #$00                        A:80 X:00 Y:9F P:E4 SP:FB CYC: 93
CB6E  D0 09     BNE                             A:80 X:00 Y:00 P:66 SP:FB CYC: 99
CB70  30 07     BMI                             A:80 X:00 Y:00 P:66 SP:FB CYC:105
CB72  50 05     BVC                             A:80 X:00 Y:00 P:66 SP:FB CYC:111
CB74  B0 03     BCS                             A:80 X:00 Y:00 P:66 SP:FB CYC:117
CB76  4C 7D CB  JMP $CB7D                       A:80 X:00 Y:00 P:66 SP:FB CYC:123
CB7D  EA        NOP                             A:80 X:00 Y:00 P:66 SP:FB CYC:132
CB7E  A9 55     LDA #$55                        A:80 X:00 Y:00 P:66 SP:FB CYC:138
CB80  A2 AA     LDX #$AA                        A:55 X:00 Y:00 P:64 SP:FB CYC:144
CB82  A0 33     LDY #$33                        A:55 X:AA Y:00 P:E4 SP:FB CYC:150
CB84  C9 55     CMP #$55                        A:55 X:AA Y:33 P:64 SP:FB CYC:156
CB86  D0 23     BNE                             A:55 X:AA Y:33 P:67 SP:FB CYC:162
CB88  E0 AA     CPX #$AA                        A:55 X:AA Y:33 P:67 SP:FB CYC:168
CB8A  D0 1F     BNE                             A:55 X:AA Y:33 P:67 SP:FB CYC:174
CB8C  C0 33     CPY #$33                        A:55 X:AA Y:33 P:67 SP:FB CYC:180
CB8E  D0 1B     BNE                             A:55 X:AA Y:33 P:67 SP:FB CYC:186
CB90  C9 55     CMP #$55                        A:55 X:AA Y:33 P:67 SP:FB CYC:192
CB92  D0 17     BNE                             A:55 X:AA Y:33 P:67 SP:FB CYC:198
CB94  E0 AA     CPX #$AA                        A:55 X:AA Y:33 P:67 SP:FB CYC:204
CB96  D0 13     BNE                             A:55 X:AA Y:33 P:67 SP:FB CYC:210
CB98  C0 33     CPY #$33                        A:55 X:AA Y:33 P:67 SP:FB CYC:216
CB9A  D0 0F     BNE                             A:55 X:AA Y:33 P:67 SP:FB CYC:222
CB9C  C9 56     CMP #$56                        A:55 X:AA Y:33 P:67 SP:FB CYC:228
CB9E  F0 0B     BEQ                             A:55 X:AA Y:33 P:E4 SP:FB CYC:234
CBA0  E0 AB     CPX #$AB                        A:55 X:AA Y:33 P:E4 SP:FB CYC:240
CBA2  F0 07     BEQ                             A:55 X:AA Y:33 P:E4 SP:FB CYC:246
CBA4  C0 34     CPY #$34                        A:55 X:AA Y:33 P:E4 SP:FB CYC:252
CBA6  F0 03     BEQ                             A:55 X:AA Y:33 P:E4 SP:FB CYC:258
CBA8  4C AF CB  JMP $CBAF                       A:55 X:AA Y:33 P:E4 SP:FB CYC:264
CBAF  A0 71     LDY #$71                        A:55 X:AA Y:33 P:E4 SP:FB CYC:273
CBB1  20 31     JSR $F931                       A:55 X:AA Y:71 P:64 SP:FB CYC:279
F931  24 01     BIT $01 = FF                    A:55 X:AA Y:71 P:64 SP:F9 CYC:297
F933  A9 40     LDA #$40                        A:55 X:AA Y:71 P:E4 SP:F9 CYC:306
F935  38        SEC                             A:40 X:AA Y:71 P:64 SP:F9 CYC:312
F936  60 30     RTS                             A:40 X:AA Y:71 P:65 SP:F9 CYC:318
CBB4  E9 40     SBC #$40                        A:40 X:AA Y:71 P:65 SP:FB CYC:336
CBB6  20 37     JSR $F937                       A:00 X:AA Y:71 P:27 SP:FB CYC:  1
F937  30 0B     BMI                             A:00 X:AA Y:71 P:27 SP:F9 CYC: 19
F939  90 09     BCC                             A:00 X:AA Y:71 P:27 SP:F9 CYC: 25
F93B  D0 07     BNE                             A:00 X:AA Y:71 P:27 SP:F9 CYC: 31
F93D  70 05     BVS                             A:00 X:AA Y:71 P:27 SP:F9 CYC: 37
F93F  C9 00     CMP #$00                        A:00 X:AA Y:71 P:27 SP:F9 CYC: 43
F941  D0 01     BNE                             A:00 X:AA Y:71 P:27 SP:F9 CYC: 49
F943  60 84     RTS                             A:00 X:AA Y:71 P:27 SP:F9 CYC: 55
CBB9  C8        INY                             A:00 X:AA Y:71 P:27 SP:FB CYC: 73
CBBA  20 47     JSR $F947                       A:00 X:AA Y:72 P:25 SP:FB CYC: 79
F947  B8        CLV                             A:00 X:AA Y:72 P:25 SP:F9 CYC: 97
F948  38        SEC                             A:00 X:AA Y:72 P:25 SP:F9 CYC:103
F949  A9 40     LDA #$40                        A:00 X:AA Y:72 P:25 SP:F9 CYC:109
F94B  60 F0     RTS                             A:40 X:AA Y:72 P:25 SP:F9 CYC:115
CBBD  E9 3F     SBC #$3F                        A:40 X:AA Y:72 P:25 SP:FB CYC:133
CBBF  20 4C     JSR $F94C                       A:01 X:AA Y:72 P:25 SP:FB CYC:139
F94C  F0 0B     BEQ                             A:01 X:AA Y:72 P:25 SP:F9 CYC:157
F94E  30 09     BMI                             A:01 X:AA Y:72 P:25 SP:F9 CYC:163
F950  90 07     BCC                             A:01 X:AA Y:72 P:25 SP:F9 CYC:169
F952  70 05     BVS                             A:01 X:AA Y:72 P:25 SP:F9 CYC:175
F954  C9 01     CMP #$01                        A:01 X:AA Y:72 P:25 SP:F9 CYC:181
F956  D0 01     BNE                             A:01 X:AA Y:72 P:27 SP:F9 CYC:187
F958  60 84     RTS                             A:01 X:AA Y:72 P:27 SP:F9 CYC:193
CBC2  C8        INY                             A:01 X:AA Y:72 P:27 SP:FB CYC:211
CBC3  20 5C     JSR $F95C                       A:01 X:AA Y:73 P:25 SP:FB CYC:217
F95C  A9 40     LDA #$40                        A:01 X:AA Y:73 P:25 SP:F9 CYC:235
F95E  38        SEC                             A:40 X:AA Y:73 P:25 SP:F9 CYC:241
F95F  24 01     BIT $01 = FF                    A:40 X:AA Y:73 P:25 SP:F9 CYC:247
F961  60 B0     RTS                             A:40 X:AA Y:73 P:E5 SP:F9 CYC:256
CBC6  E9 41     SBC #$41                        A:40 X:AA Y:73 P:E5 SP:FB CYC:274
CBC8  20 62     JSR $F962                       A:FF X:AA Y:73 P:A4 SP:FB CYC:280
F962  B0 0B     BCS                             A:FF X:AA Y:73 P:A4 SP:F9 CYC:298
F964  F0 09     BEQ                             A:FF X:AA Y:73 P:A4 SP:F9 CYC:304
F966  10 07     BPL                             A:FF X:AA Y:73 P:A4 SP:F9 CYC:310
F968  70 05     BVS                             A:FF X:AA Y:73 P:A4 SP:F9 CYC:316
F96A  C9 FF     CMP #$FF                        A:FF X:AA Y:73 P:A4 SP:F9 CYC:322
F96C  D0 01     BNE                             A:FF X:AA Y:73 P:27 SP:F9 CYC:328
F96E  60 84     RTS                             A:FF X:AA Y:73 P:27 SP:F9 CYC:334
CBCB  C8        INY                             A:FF X:AA Y:73 P:27 SP:FB CYC: 11
CBCC  20 72     JSR $F972                       A:FF X:AA Y:74 P:25 SP:FB CYC: 17
F972  18        CLC                             A:FF X:AA Y:74 P:25 SP:F9 CYC: 35
F973  A9 80     LDA #$80                        A:FF X:AA Y:74 P:24 SP:F9 CYC: 41
F975  60 90     RTS                             A:80 X:AA Y:74 P:A4 SP:F9 CYC: 47
CBCF  E9 00     SBC #$00                        A:80 X:AA Y:74 P:A4 SP:FB CYC: 65
CBD1  20 76     JSR $F976                       A:7F X:AA Y:74 P:65 SP:FB CYC: 71
F976  90 05     BCC                             A:7F X:AA Y:74 P:65 SP:F9 CYC: 89
F978  C9 7F     CMP #$7F                        A:7F X:AA Y:74 P:65 SP:F9 CYC: 95
F97A  D0 01     BNE                             A:7F X:AA Y:74 P:67 SP:F9 CYC:101
F97C  60 84     RTS                             A:7F X:AA Y:74 P:67 SP:F9 CYC:107
CBD4  C8        INY                             A:7F X:AA Y:74 P:67 SP:FB CYC:125
CBD5  20 80     JSR $F980                       A:7F X:AA Y:75 P:65 SP:FB CYC:131
F980  38        SEC                             A:7F X:AA Y:75 P:65 SP:F9 CYC:149
F981  A9 81     LDA #$81                        A:7F X:AA Y:75 P:65 SP:F9 CYC:155
F983  60 50     RTS                             A:81 X:AA Y:75 P:E5 SP:F9 CYC:161
